timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,IdleTime,Connect
1.63E+12,76,JDBC Request,200,OK,Thread Group 1-1,text,TRUE,,94,0,1,1,null,,76,0,73
1.63E+12,0,Debug Sampler,200,OK,Thread Group 1-1,text,TRUE,,492,0,1,1,null,,0,0,0
